return,object_goal_distance,success,fingertip_object_distance,control_effort,episode_steps,episode,algorithm
-131.0916294,0.413914952,0,0.131096122,0.086774353,300,1,PPO
-133.425202,0.322406952,0,0.221593627,0.080033436,300,2,PPO
-90.67471768,0.26246494,0,0.145535586,0.078333651,300,3,PPO
-105.115144,0.320576281,0,0.111528877,0.082361172,300,4,PPO
-137.699097,0.445635663,0,0.146958906,0.087027272,300,5,PPO
-124.3171737,0.345849168,0,0.150231426,0.084628455,300,6,PPO
-124.5633003,0.284739421,0,0.236534305,0.081833206,300,7,PPO
-115.1652761,0.307787981,0,0.14135334,0.083057581,300,8,PPO
-97.30241354,0.277855676,0,0.141425551,0.079804146,300,9,PPO
-115.0448748,0.339944993,0,0.150389106,0.076516405,300,10,PPO
-100.9046076,0.210757639,0,0.229852455,0.080156709,300,11,PPO
-122.439836,0.273003095,0,0.245379167,0.082576277,300,12,PPO
-136.8899429,0.406018362,0,0.159254415,0.086925887,300,13,PPO
-106.0947279,0.232018952,0,0.224748196,0.080524467,300,14,PPO
-104.4139117,0.241413863,0,0.210902836,0.079820631,300,15,PPO
-116.8970971,0.267539706,0,0.21941889,0.081164615,300,16,PPO
-100.0230465,0.180988992,0,0.276506431,0.079110709,300,17,PPO
-104.5082338,0.214956551,0,0.241477625,0.080486319,300,18,PPO
-108.9858039,0.260222953,0,0.194955831,0.079051902,300,19,PPO
-104.604939,0.306786267,0,0.123740666,0.08170389,300,20,PPO
-83.34342358,0.062856191,0,0.124310366,0.242455371,300,1,SAC
-162.606237,0.338201399,0,0.288137127,0.595726375,300,2,SAC
-82.35043953,0.191145457,0,0.13454408,0.112188992,300,3,SAC
-92.65276257,0.249071458,0,0.119225978,0.089957032,300,4,SAC
-81.56472517,0.071426423,0,0.116322436,0.246764161,300,5,SAC
-75.45706916,0.087345792,0,0.114033336,0.222832358,300,6,SAC
-166.6777685,0.363188563,0,0.315579161,0.561306313,300,7,SAC
-55.63006253,0.016892412,1,0.11760005,0.150684912,300,8,SAC
-97.01877482,0.223333026,0,0.157374607,0.162756014,300,9,SAC
-50.17974868,0.009626456,1,0.122804014,0.127083141,300,10,SAC
-77.24429847,0.159839737,0,0.145956683,0.130784385,300,11,SAC
-121.5178987,0.295287129,0,0.140537496,0.652144903,300,12,SAC
-87.81275207,0.030915136,1,0.102102022,0.195189562,300,13,SAC
-100.8874954,0.216051952,0,0.20482622,0.229225174,300,14,SAC
-55.78252356,0.075695038,0,0.113250975,0.141722076,300,15,SAC
-136.8975007,0.27980645,0,0.172734938,0.942272585,300,16,SAC
-89.98674396,0.182101169,0,0.175144583,0.241866298,300,17,SAC
-122.1013948,0.251250115,0,0.284239592,0.233734543,300,18,SAC
-139.394895,0.33179618,0,0.237079957,0.323916566,300,19,SAC
-97.84845484,0.249665512,0,0.126780293,0.102378363,300,20,SAC
-63.67545547,0.042491937,1,0.114254292,0.201194558,300,1,TD3
-58.03196165,0.059260184,0,0.071292087,0.077424942,300,2,TD3
-47.22932809,0.043603308,1,0.1121701,0.119653794,300,3,TD3
-46.81761184,0.042950852,1,0.109013384,0.107464336,300,4,TD3
-62.03723254,0.041806597,1,0.110882354,0.202137144,300,5,TD3
-57.99132526,0.040471149,1,0.108124282,0.144169181,300,6,TD3
-48.18893335,0.01112448,1,0.101471834,0.089208258,300,7,TD3
-52.24449205,0.037456978,1,0.106629952,0.1092705,300,8,TD3
-51.7336523,0.043411812,1,0.11355844,0.154566293,300,9,TD3
-46.16330129,0.036771833,1,0.106478322,0.06688285,300,10,TD3
-48.83990117,0.065832737,0,0.103967553,0.061670115,300,11,TD3
-49.89779083,0.039344607,1,0.100243319,0.092060053,300,12,TD3
-64.47692496,0.04118416,1,0.106974909,0.213443233,300,13,TD3
-47.98869376,0.047913896,1,0.102554932,0.062500691,300,14,TD3
-45.4871324,0.013413622,1,0.10578529,0.060872417,300,15,TD3
-47.74401092,0.013343293,1,0.102437696,0.075060533,300,16,TD3
-70.74275764,0.141552111,0,0.114869643,0.075192292,300,17,TD3
-61.36208865,0.125276457,0,0.103358656,0.069043926,300,18,TD3
-48.29815291,0.045491385,1,0.093048143,0.064282824,300,19,TD3
-52.78029243,0.043224022,1,0.112157407,0.15602647,300,20,TD3
