mean_return,std_return,mean_object_goal_distance,std_object_goal_distance,success_rate,mean_fingertip_object_distance,std_fingertip_object_distance,mean_control_effort,std_control_effort,algorithm,steps
-166.5318475,14.21377608,0.211046351,0.034423749,0,0.677100423,0.094309799,5.39E-06,2.64E-07,PPO,0
-130.9489097,8.59455379,0.210810288,0.035187029,0,0.423749188,0.013648543,0.080546803,0.004787126,PPO,10000
-121.1872615,10.95655074,0.22279803,0.028678735,0,0.317334955,0.058652563,0.238960231,0.0062696,PPO,20000
-107.3530832,12.33845951,0.207476131,0.048127577,0,0.260487301,0.056775601,0.13260187,0.011151964,PPO,30000
-108.5488603,11.47739789,0.225682015,0.052837305,0,0.249345665,0.079916249,0.105708591,0.005474756,PPO,40000
-103.2340452,11.68160781,0.225588309,0.046488206,0,0.225893961,0.061763274,0.05954495,0.003031086,PPO,50000
-108.8503776,14.45810446,0.234970978,0.074541446,0,0.239527547,0.07461048,0.085768737,0.008498548,PPO,60000
-104.462922,16.88292015,0.213469623,0.04997384,0,0.245216052,0.076941478,0.074009803,0.00569246,PPO,70000
-105.1112463,15.11082984,0.237481111,0.037805445,0,0.217553559,0.067822298,0.065322943,0.002110299,PPO,80000
-100.0045888,12.65808186,0.250859925,0.071473805,0,0.170786963,0.046767892,0.06012208,0.002035404,PPO,90000
-100.796111,13.44010515,0.263656601,0.051490969,0,0.164730803,0.033419555,0.079527079,0.002569928,PPO,100000
-184.4320231,8.526610179,0.211046351,0.034423749,0,0.763038931,0.055561139,0.166985368,0.007573152,SAC,0
-112.3890217,11.06814442,0.211094946,0.03451994,0,0.295161265,0.069491657,0.104558455,0.03676606,SAC,10000
-100.9885503,9.293713072,0.224192832,0.038034219,0,0.202761555,0.047012857,0.096760867,0.015396187,SAC,20000
-103.6296027,22.98993404,0.229710256,0.129413584,0,0.182577244,0.039756002,0.299231409,0.096745518,SAC,30000
-108.7907226,23.24796471,0.26558609,0.101782851,0,0.167785618,0.039170363,0.284365707,0.167638827,SAC,40000
-175.7526105,63.2419925,0.223471015,0.039801736,0,0.31306352,0.115865791,2.032499649,1.43712467,SAC,50000
-87.25274905,10.67665493,0.187617163,0.05051001,0,0.151210872,0.025974906,0.147657068,0.051628473,SAC,60000
-99.28021845,24.00574189,0.22796182,0.110199342,0,0.16431704,0.028557826,0.271630319,0.168755916,SAC,70000
-93.88139335,22.87309522,0.177279874,0.064689682,0,0.153765671,0.053510756,0.328181387,0.244960841,SAC,80000
-90.00956968,15.38581829,0.173456733,0.067585432,0,0.188594338,0.050035882,0.140626941,0.124408737,SAC,90000
-78.23928918,28.82781406,0.143456242,0.116165503,40,0.146680822,0.027650072,0.156326282,0.069817143,SAC,100000
-184.4320231,8.526610179,0.211046351,0.034423749,0,0.763038931,0.055561139,0.166985368,0.007573152,TD3,0
-103.1759825,18.5501931,0.241533048,0.090253706,0,0.202909239,0.032626123,0.193221594,0.00669017,TD3,10000
-107.2999473,33.36298914,0.282677801,0.127829903,0,0.150445145,0.044340846,0.195257787,0.052781058,TD3,20000
-98.8118797,15.18649202,0.318088305,0.063634622,0,0.107395247,0.011678966,0.151707145,0.085948229,TD3,30000
-96.00817297,26.43846197,0.237718972,0.107310272,0,0.143151387,0.053357988,0.167487405,0.040527702,TD3,40000
-79.36766272,9.574528062,0.187911589,0.033326714,0,0.109695825,0.01188217,0.132574638,0.031850629,TD3,50000
-66.69988177,21.57702856,0.078876062,0.071174164,60,0.130263244,0.054684842,0.128350758,0.026334051,TD3,60000
-68.94181632,28.17958726,0.11526659,0.099482233,50,0.14150818,0.05280587,0.098515304,0.01815987,TD3,70000
-59.66897072,24.63997646,0.073867192,0.08704718,60,0.131768972,0.044877514,0.08210637,0.021034555,TD3,80000
-53.652305,7.245459196,0.076301972,0.005601682,0,0.108577869,0.014923778,0.115718271,0.033512531,TD3,90000
-56.77208756,16.59380469,0.075435659,0.06219262,70,0.114496298,0.02162153,0.107321284,0.04951562,TD3,100000
