mean_return,std_return,mean_object_goal_distance,std_object_goal_distance,success_rate,mean_fingertip_object_distance,std_fingertip_object_distance,mean_control_effort,std_control_effort,algorithm,steps
-184.4320231,8.526610179,0.211046351,0.034423749,0,0.763038931,0.055561139,0.166985368,0.007573152,SAC,0
-112.3890217,11.06814442,0.211094946,0.03451994,0,0.295161265,0.069491657,0.104558455,0.03676606,SAC,10000
-100.9885503,9.293713072,0.224192832,0.038034219,0,0.202761555,0.047012857,0.096760867,0.015396187,SAC,20000
-103.6296027,22.98993404,0.229710256,0.129413584,0,0.182577244,0.039756002,0.299231409,0.096745518,SAC,30000
-108.7907226,23.24796471,0.26558609,0.101782851,0,0.167785618,0.039170363,0.284365707,0.167638827,SAC,40000
-175.7526105,63.2419925,0.223471015,0.039801736,0,0.31306352,0.115865791,2.032499649,1.43712467,SAC,50000
-87.25274905,10.67665493,0.187617163,0.05051001,0,0.151210872,0.025974906,0.147657068,0.051628473,SAC,60000
-99.28021845,24.00574189,0.22796182,0.110199342,0,0.16431704,0.028557826,0.271630319,0.168755916,SAC,70000
-93.88139335,22.87309522,0.177279874,0.064689682,0,0.153765671,0.053510756,0.328181387,0.244960841,SAC,80000
-90.00956968,15.38581829,0.173456733,0.067585432,0,0.188594338,0.050035882,0.140626941,0.124408737,SAC,90000
-78.23928918,28.82781406,0.143456242,0.116165503,40,0.146680822,0.027650072,0.156326282,0.069817143,SAC,100000
