mean_return,std_return,mean_object_goal_distance,std_object_goal_distance,success_rate,mean_fingertip_object_distance,std_fingertip_object_distance,mean_control_effort,std_control_effort,algorithm,steps
-184.4320231,8.526610179,0.211046351,0.034423749,0,0.763038931,0.055561139,0.166985368,0.007573152,TD3,0
-103.1759825,18.5501931,0.241533048,0.090253706,0,0.202909239,0.032626123,0.193221594,0.00669017,TD3,10000
-107.2999473,33.36298914,0.282677801,0.127829903,0,0.150445145,0.044340846,0.195257787,0.052781058,TD3,20000
-98.8118797,15.18649202,0.318088305,0.063634622,0,0.107395247,0.011678966,0.151707145,0.085948229,TD3,30000
-96.00817297,26.43846197,0.237718972,0.107310272,0,0.143151387,0.053357988,0.167487405,0.040527702,TD3,40000
-79.36766272,9.574528062,0.187911589,0.033326714,0,0.109695825,0.01188217,0.132574638,0.031850629,TD3,50000
-66.69988177,21.57702856,0.078876062,0.071174164,60,0.130263244,0.054684842,0.128350758,0.026334051,TD3,60000
-68.94181632,28.17958726,0.11526659,0.099482233,50,0.14150818,0.05280587,0.098515304,0.01815987,TD3,70000
-59.66897072,24.63997646,0.073867192,0.08704718,60,0.131768972,0.044877514,0.08210637,0.021034555,TD3,80000
-53.652305,7.245459196,0.076301972,0.005601682,0,0.108577869,0.014923778,0.115718271,0.033512531,TD3,90000
-56.77208756,16.59380469,0.075435659,0.06219262,70,0.114496298,0.02162153,0.107321284,0.04951562,TD3,100000
